jar_id,sex,treatment,date_treated,date_died,postmortem_virus,postmortem_bacteria,pm_image_filename
C1,m,none,2019-12-26,2020-01-16,,,20200116_110145_001.jpg
C2,m,none,2019-12-26,2020-01-29,,,20200129_145244.jpg
C3,m,none,2019-12-26,2020-01-19,,,20200119_121343.jpg
C4,m,none,2019-12-26,2020-01-21,,,20200121_112302.jpg
C5,m,none,2019-12-26,2020-01-29,,,
C6,m,none,2019-12-27,,,,20200210_150730.jpg
C7,m,none,2019-12-27,2020-01-02,,,20200102_112827.jpg
C8,m,none,2019-12-27,2020-01-23,,1.0,20200123_163747.jpg
C9,m,none,2019-12-27,2020-01-25,,,
C10,m,none,2019-12-27,,,,
C11,m,none,2019-12-27,2020-01-25,,,20200125_122409.jpg
C12,m,none,2019-12-27,,,,20200211_095032.jpg
C13,m,none,2019-12-27,,,,20200210_151921.jpg
C14,m,none,2019-12-27,,,,
C15,m,none,2019-12-27,,,,
C1,f,none,2019-12-26,2020-01-29,,,20200129_151721.jpg
C2,f,none,2019-12-26,,,,20200210_145205.jpg
C3,f,none,2019-12-26,2020-01-29,,,20200129_161111.jpg
C4,f,none,2019-12-26,2020-01-31,,,20200131_113359.jpg
C5,f,none,2019-12-26,,,,20200129_143353.jpg
C6,f,none,2019-12-27,2020-01-16,,1.0,20200116_110642.jpg
C7,f,none,2019-12-27,2020-01-02,,,20200102_112130.jpg
C8,f,none,2019-12-27,2020-01-23,,,20200123_163225.jpg
C9,f,none,2019-12-27,,,,20200125_121834.jpg
C10,f,none,2019-12-27,2020-01-19,,,20200119_121825.jpg
C11,f,none,2019-12-27,,,,20200210_151339.jpg
C12,f,none,2019-12-27,2020-01-21,,,20200121_113027.jpg
C13,f,none,2019-12-27,,,,20200210_152419.jpg
C14,f,none,2019-12-27,,,,20200210_145811.jpg
C15,f,none,2019-12-27,,,,
TF1,m,companion,2019-12-26,,,,
TF2,m,companion,2019-12-26,2020-02-03,,,20200203_114327.jpg
TF3,m,companion,2019-12-26,2020-01-19,,1.0,20200114_104530.jpg
TF4,m,companion,2019-12-26,,,,
TF5,m,companion,2019-12-26,2020-01-16,,,20200116_111311.jpg
TF6,m,companion,2019-12-27,2020-01-21,,1.0,20200121_111727.jpg
TF7,m,companion,2019-12-27,2020-01-27,,1.0,20191229_120148.jpg
TF8,m,companion,2019-12-27,,,,
TF9,m,companion,2019-12-27,,,,
TF10,m,companion,2019-12-27,,,,
TF11,m,companion,2019-12-27,,,,
TF12,m,companion,2019-12-27,,,,
TF13,m,companion,2019-12-27,2020-02-03,,,
TF14,m,companion,2019-12-27,,,,
TF15,m,companion,2019-12-27,2020-01-29,,1.0,20200129_153950.jpg
TF1,f,virus,2019-12-26,,,,
TF2,f,virus,2019-12-26,,,,20200127_151015.jpg
TF3,f,virus,2019-12-26,2020-02-06,,,20200206_113817.jpg
TF4,f,virus,2019-12-26,2020-01-27,,,20200127_145553.jpg
TF5,f,virus,2019-12-26,2020-01-27,,,
TF6,f,virus,2019-12-27,2020-01-16,,1.0,20200116_112000.jpg
TF7,f,virus,2019-12-27,2020-01-27,,1.0,20200127_144326.jpg
TF8,f,virus,2019-12-27,,,,
TF9,f,virus,2019-12-27,,,,
TF10,f,virus,2019-12-27,2020-01-19,,,20200119_123529.jpg
TF11,f,virus,2019-12-27,,,,
TF12,f,virus,2019-12-27,,,,
TF13,f,virus,2019-12-27,2020-01-08,,1.0,20200108_101434.jpg
TF14,f,virus,2019-12-27,,,,
TF15,f,virus,2019-12-27,2020-01-29,,1.0,20200129_153605.jpg
TM1,m,virus,2019-12-26,2020-01-02,,,20200102_111008.jpg
TM2,m,virus,2019-12-26,,,,20200211_114845_001.jpg
TM3,m,virus,2019-12-26,2020-01-19,,,20200119_122916.jpg
TM4,m,virus,2019-12-26,2020-01-31,,,20200131_115718.jpg
TM5,m,virus,2019-12-26,,,,
TM6,m,virus,2019-12-27,2020-01-29,,,
TM7,m,virus,2019-12-27,,,,
TM8,m,virus,2019-12-27,2020-01-19,,,20200119_115644.jpg
TM9,m,virus,2019-12-27,,,,
TM10,m,virus,2019-12-27,2020-01-08,1.0,1.0,20200108_102337.jpg
TM11,m,virus,2019-12-27,2020-01-14,,,20200114_105113.jpg
TM12,m,virus,2019-12-27,2020-01-19,,,20200119_122428.jpg
TM13,m,virus,2019-12-27,2020-01-29,,,20200129_152333.jpg
TM14,m,virus,2019-12-27,2020-01-29,,,20200129_154608.jpg
TM15,m,virus,2019-12-27,,,,
TM1,f,companion,2019-12-26,,,,
TM2,f,companion,2019-12-26,2020-01-27,,,20200127_150141.jpg
TM3,f,companion,2019-12-26,2020-02-06,,,20200206_113320.jpg
TM4,f,companion,2019-12-26,,,,
TM5,f,companion,2019-12-26,2020-01-19,,,20200119_124629.jpg
TM6,f,companion,2019-12-27,2020-01-25,,1.0,
TM7,f,companion,2019-12-27,2020-01-29,,,
TM8,f,companion,2019-12-27,2020-02-06,,,20200108_103227.jpg
TM9,f,companion,2019-12-27,2020-01-08,1.0,,
TM10,f,companion,2019-12-27,2020-01-14,,1.0,20200114_105656.jpg
TM11,f,companion,2019-12-27,2020-01-29,,,20200129_152948.jpg
TM12,f,companion,2019-12-27,,,,
TM13,f,companion,2019-12-27,2020-02-03,,,20200203_113806.jpg
TM14,f,companion,2019-12-27,2020-01-14,,,20200114_104047.jpg
TM15,f,companion,2019-12-27,2020-01-19,,,20200119_120121.jpg
